date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-12-15,1500000.0,1500000.0,,
2020-12-16,1687500.0,1687500.0,,
2020-12-17,1875000.0,1875000.0,,
2020-12-18,2062500.0,2062500.0,,
2020-12-19,2250000.0,2250000.0,,
2020-12-20,2437500.0,2437500.0,,
2020-12-21,2625000.0,2625000.0,,
2020-12-22,2812500.0,2812500.0,,
2020-12-23,3000000.0,3000000.0,,
2020-12-24,3187500.0,3187500.0,,
2020-12-25,3375000.0,3375000.0,,
2020-12-26,3562500.0,3562500.0,,
2020-12-27,3750000.0,3750000.0,,
2020-12-28,3937500.0,3937500.0,,
2020-12-29,4125000.0,4125000.0,,
2020-12-30,4312500.0,4312500.0,,
2020-12-31,4500000.0,4500000.0,,
2021-01-01,5000000.0,5000000.0,,
2021-01-02,5500000.0,5500000.0,,
2021-01-03,6000000.0,6000000.0,,
2021-01-04,6500000.0,6500000.0,,
2021-01-05,7000000.0,7000000.0,,
2021-01-06,7500000.0,7500000.0,,
2021-01-07,8000000.0,8000000.0,,
2021-01-08,8500000.0,8500000.0,,
2021-01-09,9000000.0,9000000.0,,
2021-01-10,9250000.0,9250000.0,,
2021-01-11,9500000.0,9500000.0,,
2021-01-12,9750000.0,9750000.0,,
2021-01-13,10000000.0,10000000.0,,
2021-01-14,10714285.714285715,10714285.714285715,,
2021-01-15,11428571.42857143,11428571.42857143,,
2021-01-16,12142857.142857142,12142857.142857142,,
2021-01-17,12857142.857142858,12857142.857142858,,
2021-01-18,13571428.57142857,13571428.57142857,,
2021-01-19,14285714.285714285,14285714.285714285,,
2021-01-20,15000000.0,15000000.0,,
2021-01-21,16294500.0,16294500.0,,
2021-01-22,17589000.0,17589000.0,,
2021-01-23,18883500.0,18883500.0,,
2021-01-24,20178000.0,20178000.0,,
2021-01-25,21472500.0,21472500.0,,
2021-01-26,22767000.0,22767000.0,,
2021-01-27,23013600.0,23013600.0,,
2021-01-28,23260200.0,23260200.0,,
2021-01-29,23506800.0,23506800.0,,
2021-01-30,23753400.0,23753400.0,,
2021-01-31,24000000.0,24000000.0,,
2021-02-01,26412000.0,26412000.0,,
2021-02-02,28824000.0,28824000.0,,
2021-02-03,31236000.0,31236000.0,,
2021-02-04,32783333.333333332,32783333.333333332,,
2021-02-05,34330666.666666664,34330666.666666664,,
2021-02-06,35878000.0,35878000.0,,
2021-02-07,37425333.333333336,37425333.333333336,,
2021-02-08,38972666.666666664,38972666.666666664,,
2021-02-09,40520000.0,40520000.0,,
2021-02-10,41151578.94736842,41151578.94736842,,
2021-02-11,41783157.89473684,41783157.89473684,,
2021-02-12,42414736.84210526,42414736.84210526,,
2021-02-13,43046315.78947368,43046315.78947368,,
2021-02-14,43677894.7368421,43677894.7368421,,
2021-02-15,44309473.684210524,44309473.684210524,,
2021-02-16,44941052.631578945,44941052.631578945,,
2021-02-17,45572631.578947365,45572631.578947365,,
2021-02-18,46204210.526315786,46204210.526315786,,
2021-02-19,46835789.47368421,46835789.47368421,,
2021-02-20,47467368.421052635,47467368.421052635,,
2021-02-21,48098947.36842105,48098947.36842105,,
2021-02-22,48730526.315789476,48730526.315789476,,
2021-02-23,49362105.2631579,49362105.2631579,,
2021-02-24,49993684.21052632,49993684.21052632,,
2021-02-25,50625263.15789474,50625263.15789474,,
2021-02-26,51256842.10526316,51256842.10526316,,
2021-02-27,51888421.05263158,51888421.05263158,,
2021-02-28,52520000.0,52520000.0,,
2021-03-01,53410000.0,53410000.0,,
2021-03-02,54300000.0,54300000.0,,
2021-03-03,55190000.0,55190000.0,,
2021-03-04,56080000.0,56080000.0,,
2021-03-05,56970000.0,56970000.0,,
2021-03-06,57860000.0,57860000.0,,
2021-03-07,58750000.0,58750000.0,,
2021-03-08,59640000.0,59640000.0,,
2021-03-09,60530000.0,60530000.0,,
2021-03-10,61420000.0,61420000.0,,
2021-03-11,62310000.0,62310000.0,,
2021-03-12,63200000.0,63200000.0,,
2021-03-13,64090000.0,64090000.0,,
2021-03-14,64980000.0,64980000.0,,
2021-03-15,66642666.666666664,66642666.666666664,,
2021-03-16,68305333.33333333,68305333.33333333,,
2021-03-17,69968000.0,69968000.0,,
2021-03-18,71630666.66666667,71630666.66666667,,
2021-03-19,73293333.33333333,73293333.33333333,,
2021-03-20,74956000.0,74956000.0,,
2021-03-21,77709500.0,77709500.0,,
2021-03-22,80463000.0,80463000.0,,
2021-03-23,82846000.0,82846000.0,,
2021-03-24,85859700.0,85859700.0,,
2021-03-25,91346000.0,91346000.0,,
2021-03-26,97470000.0,97470000.0,,
2021-03-27,102417000.0,102417000.0,,
2021-03-28,106613000.0,106613000.0,,
2021-03-29,110962000.0,110962000.0,,
2021-03-30,114690000.0,114690000.0,,
2021-03-31,119821000.0,119821000.0,,
2021-04-01,126616000.0,126616000.0,,
2021-04-02,133801000.0,133801000.0,,
2021-04-03,136677000.0,136677000.0,,
2021-04-04,139970000.0,139970000.0,,
2021-04-05,142802000.0,142802000.0,,
2021-04-06,145392000.0,145392000.0,,
2021-04-07,149071000.0,149071000.0,,
2021-04-08,155150000.0,155150000.0,,
2021-04-09,161121000.0,161121000.0,,
2021-04-10,164471000.0,164471000.0,,
2021-04-11,167343000.0,167343000.0,,
2021-04-12,171928000.0,171928000.0,,
2021-04-13,175623000.0,175623000.0,,
2021-04-14,179216000.0,179216000.0,,
2021-04-15,183536000.0,183536000.0,,
2021-04-16,187368000.0,187368000.0,,
2021-04-17,189809000.0,189809000.0,,
2021-04-18,192127000.0,192127000.0,,
2021-04-19,195022000.0,195022000.0,,
2021-04-20,198965000.0,198965000.0,,
2021-04-21,204191000.0,204191000.0,,
2021-04-22,211223000.0,211223000.0,,
